course_id,overall,objectives,organized,stimulating,engaging,discussion,hours
272,2,2,1,1,3,3,2
240,3,2,1,3,2,1,2
374,3,4,2,1,4,3,3
161,3,4,3,1,1,2,3
368,3,5,4,3,2,1,5
300,1,5,1,2,1,3,2
230,3,3,1,2,3,2,4
106,4,5,5,4,1,5,2
105,2,5,2,1,2,5,1
118,2,1,4,1,2,4,1
172,5,2,4,4,2,5,4
225,1,1,5,3,2,2,1
226,4,3,4,3,2,1,1
310,3,5,1,5,2,5,3
311,5,5,1,2,1,4,1
200,3,2,4,1,4,3,3
101,5,1,1,4,5,2,4
372,5,1,4,4,1,1,1
385,4,5,3,4,5,3,3
183,5,4,1,5,2,1,3
280,5,3,3,1,4,1,2
370,1,4,2,4,2,4,3
102,4,1,3,3,5,3,3
100,4,3,1,4,1,5,5
402,4,4,1,2,3,1,2
203,5,1,3,3,1,5,1
281,4,5,3,1,2,2,4
239,4,5,3,2,1,3,3
297,1,2,4,1,2,5,1
298,5,5,2,2,2,5,2
325,1,5,2,3,3,3,2
110,1,4,2,4,5,3,2
103,1,1,4,4,5,1,1
107,5,4,5,4,1,2,3
114,5,5,3,5,4,2,2
191,3,2,5,3,2,3,1
201,3,1,3,4,3,2,1
250,4,3,2,1,2,1,4
306,3,1,4,3,4,3,2
350,4,3,1,4,2,3,4
111,1,4,3,2,4,2,4
211,5,4,1,3,5,1,2
425,4,5,2,1,2,5,5
220,5,4,4,2,1,1,4
301,4,1,2,2,5,5,3
126,5,4,5,2,4,2,2
127,1,4,2,5,4,4,1
128,1,2,1,1,3,1,1
135,4,5,3,4,3,1,1
136,4,3,5,5,4,1,1
235,5,2,5,1,4,5,1
236,5,1,5,5,3,1,1
389,2,3,1,4,5,3,5
489,2,5,2,3,5,2,4
112,2,1,2,4,4,1,5
260,3,4,1,2,4,5,1
270,5,2,5,5,5,3,2
290,2,5,5,4,1,2,3
303,2,1,3,3,3,5,5
330,1,3,4,5,4,5,2
340,5,4,1,1,1,2,2
360,1,3,4,4,2,1,1
380,4,1,4,3,5,3,4
390,1,4,5,2,4,2,5
275,3,1,4,4,2,4,4
276,4,3,5,2,5,2,4
277,2,5,5,4,4,5,4
