anon_id,overall,environment,feedback,async,opportunities,sensitiviy
2920,1,3,4,2,5,3
201,2,5,3,4,4,4
3360,4,1,1,2,3,4
3604,2,5,5,5,2,1
1914,3,3,3,3,5,4
2640,4,1,5,2,5,5
4717,3,2,4,2,1,1
3316,2,5,2,5,3,2
4010,3,2,3,4,3,5
2533,2,1,3,5,2,3
3727,4,1,5,5,3,5
3717,3,4,5,2,3,2
3861,1,5,3,2,2,5
695,3,2,2,5,1,2
1783,2,3,1,1,4,5
335,2,1,1,5,5,2
2742,4,5,2,5,3,3
364,1,2,4,4,4,2
2585,4,5,2,3,2,3
683,4,4,1,4,5,2
2079,5,3,2,5,4,2
1308,5,4,5,1,1,3
4522,4,3,2,2,1,4
3499,5,4,3,1,3,1
4582,1,2,3,4,3,3
4031,1,4,2,5,1,2
3592,1,4,3,4,5,1
2612,2,4,4,2,4,4
2764,3,3,1,4,3,3
919,4,1,3,1,5,1
4178,2,2,5,3,1,3
4784,2,4,2,4,4,3
1628,2,4,3,3,1,2
2140,1,1,2,2,3,4
4639,3,1,5,5,1,5
2635,5,3,1,4,3,5
1049,3,3,5,4,1,3
2538,5,5,2,4,1,1
4571,5,4,3,2,5,4
3414,3,1,1,1,3,3
2115,5,2,1,5,4,4
4802,5,5,1,2,5,3
834,2,5,5,3,1,5
2971,1,4,1,2,1,5
3040,2,1,4,3,2,1
283,4,3,3,2,2,3
4447,1,1,3,5,3,2
2458,1,3,2,5,5,1
1930,5,5,2,4,4,2
3802,2,2,1,3,4,3
468,5,4,5,2,3,2
1852,2,2,5,3,2,1
4605,1,4,4,3,1,2
3909,2,3,2,3,4,3
2072,1,3,3,5,2,2
3915,3,2,1,3,1,2
4104,5,4,3,5,2,3
1072,5,1,1,1,5,2
506,1,4,1,2,2,3
4797,3,4,2,5,2,5
533,5,1,1,3,4,5
1918,4,1,1,4,3,1
3057,5,1,5,3,3,1
3241,1,5,5,2,5,2
4109,5,4,4,3,4,2
1532,1,4,1,1,2,5
4635,3,3,1,5,2,5
1248,2,1,1,1,3,2
629,4,4,4,3,4,2
4699,3,5,1,1,3,1
395,1,1,1,3,1,5
2085,3,4,2,4,1,2
374,2,2,4,1,4,1
190,2,4,1,4,3,2
4637,3,2,1,3,2,5
1651,3,1,3,2,1,4
1083,4,1,1,3,4,3
2889,4,1,1,4,2,4
325,1,5,2,4,1,4
2812,3,1,5,1,5,4
2497,5,3,3,2,5,2
2754,2,1,2,5,1,4
693,1,4,4,3,3,5
877,2,1,4,3,1,4
3399,2,2,1,4,2,3
410,5,5,3,3,2,1
3520,2,3,1,3,5,4
3635,4,5,4,5,2,3
4357,1,4,2,2,5,1
3547,4,1,4,5,3,2
2837,4,1,2,2,5,3
761,4,4,5,3,4,3
2669,2,1,1,4,5,1
2054,4,1,4,1,1,4
664,1,4,3,4,1,1
846,4,1,1,1,1,5
3391,4,2,5,1,3,3
3766,1,5,4,5,1,4
2112,2,2,1,1,5,1
2886,1,5,2,1,1,4
3262,1,3,2,2,5,2
3110,3,5,1,4,2,4
3558,4,3,5,5,4,1
2599,5,3,4,4,1,5
3005,5,2,5,5,4,2
2102,3,5,3,1,3,4
