,StudentID,Year,Semester,Course_Code,Grade
0,0,2000,Fall,EDCT-GE 2015,B+
1,0,2000,Fall,EDCT-GE 2300,B
2,0,2000,Fall,EDCT-GE 2350,B+
3,0,2000,Fall,EDCT-GE 2505,A-
4,0,2001,Spring,EDCT-GE 2018,B+
5,0,2001,Spring,EDCT-GE 2158,B-
6,0,2001,Spring,EDCT-GE 2252,B-
7,0,2001,Spring,EDCT-GE 2520,A-
8,0,2001,Fall,EDCT-GE 2174,A-
9,0,2001,Fall,EDCT-GE 2175,B+
10,0,2001,Fall,EDCT-GE 2197,A
11,0,2001,Fall,EDCT-GE 2260,B-
12,0,2002,Spring,EDCT-GE 2095,B+
13,0,2002,Spring,EDCT-GE 2159,A-
14,0,2002,Spring,EDCT-GE 2500,A-
15,0,2002,Fall,EDCT-GE 2095,B+
16,0,2002,Fall,EDCT-GE 2251,A
0,1,2001,Fall,EDCT-GE 2015,B-
1,1,2001,Fall,EDCT-GE 2031,C
2,1,2001,Fall,EDCT-GE 2251,B-
3,1,2001,Fall,EDCT-GE 2260,B-
4,1,2001,Fall,EDCT-GE 2510,B-
5,1,2002,Spring,EDCT-GE 2040,C
6,1,2002,Spring,EDCT-GE 2158,C
7,1,2002,Spring,EDCT-GE 2174,C
8,1,2002,Spring,EDCT-GE 2200,B-
9,1,2002,Fall,EDCT-GE 2018,B-
10,1,2002,Fall,EDCT-GE 2175,B+
11,1,2002,Fall,EDCT-GE 2197,C
12,1,2003,Spring,EDCT-GE 2095,B
13,1,2003,Spring,EDCT-GE 2116,C
14,1,2003,Spring,EDCT-GE 2159,A-
15,1,2003,Spring,EDCT-GE 2252,B-
16,1,2003,Fall,EDCT-GE 2095,B
17,1,2003,Fall,EDCT-GE 2300,B
18,1,2003,Fall,EDCT-GE 2350,B
19,1,2003,Fall,EDCT-GE 2505,B
0,2,2002,Fall,EDCT-GE 2175,B
1,2,2002,Fall,EDCT-GE 2197,B
2,2,2002,Fall,EDCT-GE 2251,B-
3,2,2002,Fall,EDCT-GE 2300,C+
4,2,2003,Spring,EDCT-GE 2015,B-
5,2,2003,Spring,EDCT-GE 2018,C-
6,2,2003,Spring,EDCT-GE 2174,B-
7,2,2003,Spring,EDCT-GE 2500,B-
8,2,2003,Fall,EDCT-GE 2031,B-
9,2,2003,Fall,EDCT-GE 2076,A-
10,2,2003,Fall,EDCT-GE 2095,B-
11,2,2003,Fall,EDCT-GE 2260,B
12,2,2004,Spring,EDCT-GE 2040,A-
13,2,2004,Spring,EDCT-GE 2116,C
14,2,2004,Spring,EDCT-GE 2158,B-
15,2,2004,Spring,EDCT-GE 2159,B-
16,2,2004,Fall,EDCT-GE 2095,C+
17,2,2004,Fall,EDCT-GE 2350,B-
18,2,2004,Fall,EDCT-GE 2505,C
0,3,2003,Spring,EDCT-GE 2015,B-
1,3,2003,Spring,EDCT-GE 2018,B-
2,3,2003,Spring,EDCT-GE 2158,D
3,3,2003,Spring,EDCT-GE 2174,D+
4,3,2003,Fall,EDCT-GE 2076,D
5,3,2003,Fall,EDCT-GE 2175,C+
6,3,2003,Fall,EDCT-GE 2510,D+
7,3,2004,Spring,EDCT-GE 2095,D+
8,3,2004,Spring,EDCT-GE 2159,D
9,3,2004,Spring,EDCT-GE 2197,C-
10,3,2004,Spring,EDCT-GE 2500,C+
11,3,2004,Fall,EDCT-GE 2095,C+
12,3,2004,Fall,EDCT-GE 2260,C-
13,3,2004,Fall,EDCT-GE 2505,C-
0,4,2004,Fall,EDCT-GE 2015,B+
1,4,2004,Fall,EDCT-GE 2031,B+
2,4,2004,Fall,EDCT-GE 2076,B-
3,4,2004,Fall,EDCT-GE 2510,C+
4,4,2005,Spring,EDCT-GE 2040,A-
5,4,2005,Spring,EDCT-GE 2159,B-
6,4,2005,Spring,EDCT-GE 2197,A
7,4,2005,Spring,EDCT-GE 2520,B+
8,4,2005,Fall,EDCT-GE 2018,B
9,4,2005,Fall,EDCT-GE 2174,B-
10,4,2005,Fall,EDCT-GE 2251,C+
11,4,2005,Fall,EDCT-GE 2300,B+
12,4,2006,Spring,EDCT-GE 2116,C
13,4,2006,Spring,EDCT-GE 2200,B-
14,4,2006,Spring,EDCT-GE 2252,A-
15,4,2006,Spring,EDCT-GE 2500,B-
16,4,2006,Fall,EDCT-GE 2260,B+
17,4,2006,Fall,EDCT-GE 2505,A-
18,4,2007,Spring,EDCT-GE 2158,B-
19,4,2007,Fall,EDCT-GE 2175,B-
20,4,2007,Fall,EDCT-GE 2350,C+
21,4,2008,Spring,EDCT-GE 2095,B
22,4,2008,Fall,EDCT-GE 2095,A-
0,5,2005,Fall,EDCT-GE 2015,C-
1,5,2005,Fall,EDCT-GE 2018,D
2,5,2005,Fall,EDCT-GE 2174,C+
3,5,2005,Fall,EDCT-GE 2175,C
4,5,2006,Spring,EDCT-GE 2040,D+
5,5,2006,Spring,EDCT-GE 2200,D+
6,5,2006,Spring,EDCT-GE 2252,C
7,5,2006,Spring,EDCT-GE 2500,D
8,5,2006,Fall,EDCT-GE 2031,C-
9,5,2006,Fall,EDCT-GE 2095,D
10,5,2006,Fall,EDCT-GE 2197,D+
11,5,2006,Fall,EDCT-GE 2260,C-
12,5,2007,Spring,EDCT-GE 2116,C
13,5,2007,Spring,EDCT-GE 2158,D+
14,5,2007,Spring,EDCT-GE 2159,B-
15,5,2007,Spring,EDCT-GE 2520,C-
16,5,2007,Fall,EDCT-GE 2095,C
17,5,2007,Fall,EDCT-GE 2300,D
18,5,2007,Fall,EDCT-GE 2505,C+
0,6,2006,Spring,EDCT-GE 2015,C-
1,6,2006,Spring,EDCT-GE 2116,A
2,6,2006,Spring,EDCT-GE 2158,A-
3,6,2006,Spring,EDCT-GE 2174,B+
4,6,2006,Fall,EDCT-GE 2031,A
5,6,2006,Fall,EDCT-GE 2175,A-
6,6,2006,Fall,EDCT-GE 2251,A-
7,6,2007,Spring,EDCT-GE 2095,B+
8,6,2007,Spring,EDCT-GE 2159,B+
9,6,2007,Spring,EDCT-GE 2197,C+
10,6,2007,Spring,EDCT-GE 2520,A-
11,6,2007,Fall,EDCT-GE 2018,C
12,6,2007,Fall,EDCT-GE 2076,A-
13,6,2007,Fall,EDCT-GE 2095,A-
14,6,2007,Fall,EDCT-GE 2510,A
0,7,2007,Fall,EDCT-GE 2015,B-
1,7,2007,Fall,EDCT-GE 2174,C
2,7,2007,Fall,EDCT-GE 2175,C-
3,7,2007,Fall,EDCT-GE 2197,D
4,7,2008,Spring,EDCT-GE 2116,D
5,7,2008,Spring,EDCT-GE 2158,C-
6,7,2008,Spring,EDCT-GE 2159,B
7,7,2008,Spring,EDCT-GE 2200,D
8,7,2008,Fall,EDCT-GE 2095,D
9,7,2008,Fall,EDCT-GE 2260,C
10,7,2008,Fall,EDCT-GE 2350,D
11,7,2008,Fall,EDCT-GE 2505,D+
12,7,2009,Spring,EDCT-GE 2040,C-
13,7,2009,Spring,EDCT-GE 2095,B
14,7,2009,Spring,EDCT-GE 2252,C
15,7,2009,Spring,EDCT-GE 2500,C
0,8,2008,Fall,EDCT-GE 2015,B-
1,8,2008,Fall,EDCT-GE 2076,C
2,8,2008,Fall,EDCT-GE 2174,B-
3,8,2008,Fall,EDCT-GE 2197,B+
4,8,2009,Spring,EDCT-GE 2018,B-
5,8,2009,Spring,EDCT-GE 2040,B-
6,8,2009,Spring,EDCT-GE 2158,B+
7,8,2009,Spring,EDCT-GE 2159,C
8,8,2009,Fall,EDCT-GE 2175,C+
9,8,2009,Fall,EDCT-GE 2251,C
10,8,2009,Fall,EDCT-GE 2505,B-
11,8,2009,Fall,EDCT-GE 2510,B
12,8,2010,Spring,EDCT-GE 2095,C+
13,8,2010,Spring,EDCT-GE 2116,B-
14,8,2010,Spring,EDCT-GE 2252,A-
15,8,2010,Spring,EDCT-GE 2520,B-
16,8,2010,Fall,EDCT-GE 2031,B
17,8,2010,Fall,EDCT-GE 2095,B+
18,8,2010,Fall,EDCT-GE 2300,B-
19,8,2010,Fall,EDCT-GE 2350,B
0,9,2009,Spring,EDCT-GE 2015,C+
1,9,2009,Spring,EDCT-GE 2158,C+
2,9,2009,Spring,EDCT-GE 2174,A
3,9,2009,Spring,EDCT-GE 2252,B+
4,9,2009,Fall,EDCT-GE 2076,B+
5,9,2009,Fall,EDCT-GE 2175,A-
6,9,2009,Fall,EDCT-GE 2197,A
7,9,2009,Fall,EDCT-GE 2251,B+
8,9,2010,Spring,EDCT-GE 2095,B+
9,9,2010,Spring,EDCT-GE 2116,B+
10,9,2010,Spring,EDCT-GE 2159,A-
